#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 02 02 09 00 159  2.5  2.9 99.00 99.00 99.00 999 1018.5  17.2  17.6  16.6 99.0 99.00
2017 02 02 09 30 165  3.4  3.9 99.00 99.00 99.00 999 1018.6  17.3  17.6  16.7 99.0 99.00
2017 02 02 10 00 162  2.6  3.4 99.00 99.00 99.00 999 1018.9  17.3  17.6  16.8 99.0 99.00
2017 02 02 10 30 160  2.5  2.8 99.00 99.00 99.00 999 1019.1  17.3  17.5  16.8 99.0 99.00
2017 02 02 11 00 167  2.7  3.1 99.00 99.00 99.00 999 1019.4  17.2  17.5  16.7 99.0 99.00
2017 02 02 11 30 154  3.3  3.7 99.00 99.00 99.00 999 1019.5  17.3  17.5  16.8 99.0 99.00
2017 02 02 12 00 149  2.7  3.1 99.00 99.00 99.00 999 1019.8  17.2  17.5  16.8 99.0 99.00
2017 02 02 12 30 138  2.1  2.6 99.00 99.00 99.00 999 1020.1  17.2  17.6  16.8 99.0 99.00
2017 02 02 13 00 138  2.0  2.5 99.00 99.00 99.00 999 1020.3  17.1  17.6  16.7 99.0 99.00
2017 02 02 13 30 152  2.9  3.3 99.00 99.00 99.00 999 1020.7  17.3  17.6  16.9 99.0 99.00
2017 02 02 14 00 144  2.4  2.8 99.00 99.00 99.00 999 1021.2  17.8  17.6  17.1 99.0 99.00
2017 02 02 14 30 143  2.4  2.8 99.00 99.00 99.00 999 1021.6  17.6  17.7  17.1 99.0 99.00
2017 02 02 15 00 107  1.8  2.1 99.00 99.00 99.00 999 1021.9  18.0  17.7  17.3 99.0 99.00
2017 02 02 15 30 101  1.7  2.0 99.00 99.00 99.00 999 1022.2  17.9  17.7  17.2 99.0 99.00
2017 02 02 16 00 116  2.0  2.4 99.00 99.00 99.00 999 1022.6  18.0  17.8  17.2 99.0 99.00
2017 02 02 16 30 122  1.8  2.0 99.00 99.00 99.00 999 1022.5  18.5  17.8  17.6 99.0 99.00
2017 02 02 17 00 124  1.5  1.9 99.00 99.00 99.00 999 1022.4  18.7  17.8  17.8 99.0 99.00
2017 02 02 17 30 130  2.1  2.6 99.00 99.00 99.00 999 1022.0  18.8  17.8  17.9 99.0 99.00
2017 02 02 18 00 140  3.1  3.7 99.00 99.00 99.00 999 1021.4  18.9  17.8  18.1 99.0 99.00
2017 02 02 18 30 144  3.5  4.0 99.00 99.00 99.00 999 1020.9  18.9  17.8  18.2 99.0 99.00
2017 02 02 19 00 143  1.9  2.3 99.00 99.00 99.00 999 1020.8  19.0  17.8  18.2 99.0 99.00
2017 02 02 19 30 140  2.2  2.5 99.00 99.00 99.00 999 1020.4  19.1  17.8  18.2 99.0 99.00
2017 02 02 20 00 131  1.5  1.8 99.00 99.00 99.00 999 1020.4  19.2  17.8  18.3 99.0 99.00
2017 02 02 20 30 132  2.1  2.5 99.00 99.00 99.00 999 1020.3  19.5  17.9  18.5 99.0 99.00
2017 02 02 21 00 172  1.5  1.8 99.00 99.00 99.00 999 1020.4  19.7  17.8  18.6 99.0 99.00
2017 02 02 21 30 145  0.9  1.2 99.00 99.00 99.00 999 1020.3  20.0  17.9  18.7 99.0 99.00
2017 02 02 22 00 133  1.2  1.5 99.00 99.00 99.00 999 1020.4  20.1  17.9  18.9 99.0 99.00
2017 02 02 22 30  73  0.8  1.5 99.00 99.00 99.00 999 1020.7  20.1  17.9  19.0 99.0 99.00
