"STATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AJ1","AL1","AN1","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AW1","AW2","AW3","AW4","AX1","AX2","AX3","AX4","CALL_SIGN","CIG","DEW","EQD","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","KA1","KA2","KA3","KA4","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MV1","MW1","OC1","OD1","OE1","OE2","OE3","QUALITY_CONTROL","REM","REPORT_TYPE","SLP","SOURCE","TMP","VIS","WND"
"72242712975","2017-03-23T00:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0189,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10203,5,10187,5",,,,,,,,,,,,"V020","MET09003/22/17 18:53:01 METAR KLVJ 230053Z 15007KT 10SM CLR 24/19 A3013 RMK AO2 SLP202 T02390189","FM-15","10202,5","7","+0239,5","016093,5,N,5","150,5,N,0036,5"
"72242712975","2017-03-23T01:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0183,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10203,5,10187,5",,,,,,,,,,,,"V020","MET09003/22/17 19:53:02 METAR KLVJ 230153Z 15004KT 10SM CLR 22/18 A3013 RMK AO2 SLP203 T02220183","FM-15","10203,5","7","+0222,5","016093,5,N,5","150,5,N,0021,5"
"72242712975","2017-03-23T02:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0183,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10213,5,10198,5","3,9,013,9,+999,9",,,,,,,,,,,"V020","MET09603/22/17 20:53:02 METAR KLVJ 230253Z 16004KT 10SM CLR 22/18 A3016 RMK AO2 SLP211 T02170183 53013","FM-15","10211,5","7","+0217,5","016093,5,N,5","160,5,N,0021,5"
"72242712975","2017-03-23T03:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0183,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10217,5,10201,5",,,,,,,,,,,,"V020","MET09003/22/17 21:53:02 METAR KLVJ 230353Z 16003KT 10SM CLR 21/18 A3017 RMK AO2 SLP215 T02110183","FM-15","10215,5","7","+0211,5","016093,5,N,5","160,5,N,0015,5"
"72242712975","2017-03-23T04:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0183,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10217,5,10201,5",,,,,,,,,,,,"V020","MET09003/22/17 22:53:02 METAR KLVJ 230453Z 00000KT 10SM CLR 21/18 A3017 RMK AO2 SLP216 T02060183","FM-15","10216,5","7","+0206,5","016093,5,N,5","999,9,C,0000,5"
"72242712975","2017-03-23T05:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0183,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","060,M,+0256,1","060,N,+0206,1","240,M,+0289,1","240,N,+0161,1",,,,,,,,,"10213,5,10198,5","0,9,001,9,+999,9",,,,,,,,,,,"V020","MET11803/22/17 23:53:02 METAR KLVJ 230553Z 15003KT 10SM CLR 21/18 A3016 RMK AO2 SLP211 T02060183 10256 20206 402890161 50001","FM-15","10211,5","7","+0206,5","016093,5,N,5","150,5,N,0015,5"
"72242712975","2017-03-23T05:59:00","6","SOD  ","KLVJ ","V020","24,0000,9,5",,,,,,,,,,,,,,,,,,"0000,9,5,999999,9,9","24,000,9,5","024,0000,9,5","AU,01,FG  ,5","AU,13,BR  ,5",,,,,,,,,,,"01,6,24,6","02,6,24,6",,,"KLVJ ","99999,9,9,9","+9999,9","R01    127AXW090R02    127AXW090",,,,,,,,,"240,M,+0289,5","240,N,+0161,5",,,,,,,,,,,,,"10188,4,10183,4",,,,,,,"1,24,00983,150,9999,5","2,24,00715,160,9999,5","3,24,00206,999,9999,5","V020","SOD75724 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):12  24 HR MAX TEMP (F): 8424 HR MIN TEMP (F): 61AVERAGE STATION PRESSURE:30.085 MINIMUM SEA LEVEL PRESSURE:30.07 TIME OF OCCURRENCE:0400 PEAK WIND SPEED (MPH): 22 PEAK WIND DIR (DEG):150 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):160 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 4.6 24 HR AVG TEMP (F): 73DEPART FROM NORMAL:  9  HEATING DEGREE DAYS:  0 COOLING DEGREE DAYS:  8 LATEST DAY MAX TEMP (0700-1900 LST):84  LATEST NIGHT MIN TEMP(1900-0800 LST):61 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00","SOD  ","99999,9","6","+9999,9","999999,9,9,9","999,9,9,9999,9"
"72242712975","2017-03-23T06:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0178,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10207,5,10191,5",,,,,,,,,,,,"V020","MET09003/23/17 00:53:02 METAR KLVJ 230653Z 15003KT 10SM CLR 20/18 A3014 RMK AO2 SLP207 T02000178","FM-15","10207,5","7","+0200,5","016093,5,N,5","150,5,N,0015,5"
"72242712975","2017-03-23T07:51:00","6","FM-16","KLVJ ","V020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","00579,5,M,N","+0160,5",,"07,5,+00579,5,99,9",,,"3,99,1,+00579,5,9",,,,,,,,,,,,,,,,,"10207,5,10191,5",,,,,,,,,,,,"V020","MET08003/23/17 01:51:02 SPECI KLVJ 230751Z 00000KT 9SM BKN019 19/16 A3014 RMK AO2 FIBI","FM-16","99999,9","6","+0190,5","014484,5,N,5","999,9,C,0000,5"
"72242712975","2017-03-23T07:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","00579,5,M,N","+0167,5",,"07,5,+00579,5,99,9",,,"3,99,1,+00579,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00579,1,99,9,99,9",,,,,,,,,,,,,"10207,5,10191,5",,,,,,,,,,,,"V020","MET09203/23/17 01:53:02 METAR KLVJ 230753Z 00000KT 9SM BKN019 19/17 A3014 RMK AO2 SLP205 T01890167","FM-15","10205,5","7","+0189,5","014484,5,N,5","999,9,C,0000,5"
"72242712975","2017-03-23T08:25:00","7","FM-16","KLVJ ","V020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0178,5","D01      0ADE726","04,5,+00610,5,99,9",,,"2,99,1,+00610,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00610,1,99,9,99,9",,,,,,,,,,,,,"10203,5,10187,5",,,,,,,,,,,,"V020","MET08503/23/17 02:25:02 SPECI KLVJ 230825Z 13003KT 9SM SCT020 19/18 A3013 RMK AO2 T01940178","FM-16","99999,9","7","+0194,5","014484,5,N,5","130,5,N,0015,5"
