,mean,median
Angleton,0.980272861,1.079400635
Beaumont,,
Conroe,1.95489114,1.747674561
Galveston,-0.556779158,-0.307318115
Houston,-0.184834106,0.025152588
Cleveland,1.379193115,1.309169515
High Island Oil,-0.171824137,0.392059326
Houston Executive Airport,1.04851423,1.286987305
Houston Intercontinental Airport,0.544479255,0.612976074
Huntsville,1.399181452,1.39541626
Port Arthur,0.771412258,0.766937256
Robert R Wells,1.660312655,1.786460368
Sabine Oil,0.279943169,0.407745361
Sargent,1.196958255,1.236529541
Texas Point,1.271558852,1.313677979
,,
Average,0.826662846,0.932347761
