,Days,42019,42035,42043,mgpt2,sgnt2,42002,eptt2,gnjt2,grrt2,hist2,rlot2
0,23-Mar,0.800622559,0.809381104,0.166864014,0.929986572,-0.126806641,2.983758545,1.097009277,nan,-0.120825195,-0.18302002,0.107293701
1,24-Mar,0.929579671,0.657729085,0.212721761,1.178328451,-0.07985026,3.112715658,1.121687826,nan,-0.221665446,-0.235703532,0.214461263
2,25-Mar,1.112290446,0.389145915,0.337906901,1.316666667,0.473923747,3.084794108,1.024003092,nan,-0.251662191,-0.197340902,0.287430827
3,26-Mar,1.208321126,0.557716878,0.674568685,1.323341878,0.709450277,3.178963216,0.853859456,nan,0.106667074,0.253853353,0.559670003
4,27-Mar,1.241019694,0.692893473,0.676658122,1.00417277,0.841208903,3.22292277,0.771964518,nan,0.254996745,0.374686686,0.55281779
5,28-Mar,1.038243519,0.449467884,0.238866078,0.596348988,0.80725597,2.96326183,0.543706166,nan,-0.014460338,0.174351918,0.275609242
6,29-Mar,1.216864014,0.493719482,0.301855469,0.464971924,0.923620605,3.055609131,0.543371582,nan,0.091650391,0.120001221,0.259222412
7,30-Mar,1.183339437,0.567067464,0.51457723,0.460835775,0.881520589,3.129567464,0.56068929,nan,0.384999593,0.637318929,0.642537435
8,31-Mar,1.077089437,0.641481527,0.494600423,0.80084432,0.804903158,3.209596761,0.980470785,nan,0.467500814,0.999849447,0.980440267
9,1-Apr,0.703550212,0.440427653,0.315427653,0.656675212,0.475736491,2.98229777,0.903318278,nan,0.240842692,0.786680094,0.777433268
10,2-Apr,1.184572347,0.905214437,0.84897054,0.86334432,0.891084798,3.177675374,1.130342611,nan,0.552461751,1.198366292,1.119112142
11,3-Apr,0.896449788,0.325221761,0.646449788,0.07082723,0.542201742,2.515224202,0.31716512,nan,-0.138340251,0.313808187,0.107387288
12,4-Apr,0.976867676,0.543731689,0.620635986,0.157501221,0.486358643,2.675628662,0.464660645,nan,-0.020843506,0.317993164,0.193847656
,,,,,,,,,,,,
Mean,,1.04375461,0.574861412,0.465392512,0.75568041,0.586969848,3.02246273,0.793249896,#DIV/0!,0.102409395,0.350834218,0.467481792
