,mean,median
Angleton,-4.576898881803056,-4.295758056640626
Beaumont,,
Conroe,-3.196558132125759,-3.150469970703126
Galveston,-2.4547523608650126,-2.4260314941406236
Houston,-5.563814755296486,-5.269610595703126
Cleveland,-3.5815570537860575,-3.461619059244793
High Island Oil,21.668672561645508,21.742279052734375
Houston Executive Airport,-2.514053199404762,-2.624755859375
Houston Intercontinental Airport,-2.7447507557907946,-2.8466033935546866
Huntsville,-4.980815855084043,-4.353518676757812
Port Arthur,-3.6955960401541454,-3.4802612304687504
Robert R Wells,-4.106399608059764,-3.4982635498046886
Sabine Oil,-0.4830168166963181,-0.491485595703125
Sargent,-1.5897517965297507,-1.533038330078126
Texas Point,-2.4585906982421877,-3.34521484375
