"","","se","2.5%","97.5%"
"(Intercept).t1",58.9,0.392,58.2,59.5
"LandUseBarren.t1",1.22,0.231,0.774,1.67
"LandUseCrop.t1",0.268,0.171,0.202,0.587
"LandUseShrub/Savanna.t1",0.349,0.0436,0.292,0.412
"LandUseUrban.t1",-6.59,0.138,-6.94,-6.45
"LandUseWater.t1",0.253,0.0792,0.0985,0.406
"LandUseWetlands.t1",0.992,0.176,0.681,1.37
"Dist2Ocean.t1",1.52e-05,2.99e-06,7.26e-06,1.71e-05
"(Intercept).t2",57.3,0.276,57.1,58.2
"LandUseBarren.t2",-2.75,0.255,-3.27,-2.3
"LandUseCrop.t2",0.0118,0.243,-0.0615,0.536
"LandUseShrub/Savanna.t2",-0.997,0.0626,-1.06,-0.925
"LandUseUrban.t2",-6.76,0.217,-7.3,-6.6
"LandUseWater.t2",-0.401,0.116,-0.563,-0.227
"LandUseWetlands.t2",0.305,0.219,0.00332,0.82
"Dist2Ocean.t2",3.87e-05,9.63e-06,3.1e-06,4.18e-05
"(Intercept).t3",49,0.363,48.7,49.8
"LandUseBarren.t3",-0.9,0.29,-1.57,-0.414
"LandUseCrop.t3",-0.115,0.219,-0.198,0.602
"LandUseShrub/Savanna.t3",-1.51,0.0379,-1.57,-1.44
"LandUseUrban.t3",-3.41,0.288,-4.19,-3.19
"LandUseWater.t3",5.86,0.0954,5.69,6.04
"LandUseWetlands.t3",-0.477,0.254,-0.809,0.272
"Dist2Ocean.t3",1.85e-06,5.64e-06,-1.28e-05,5.38e-06
"(Intercept).t4",44.2,0.137,43.8,44.4
"LandUseBarren.t4",-0.36,0.292,-1.04,0.119
"LandUseCrop.t4",0.056,0.236,-0.0315,0.825
"LandUseShrub/Savanna.t4",-1.37,0.0374,-1.44,-1.31
"LandUseUrban.t4",-3.04,0.344,-3.97,-2.81
"LandUseWater.t4",7.05,0.101,6.85,7.24
"LandUseWetlands.t4",-0.0339,0.283,-0.421,0.821
"Dist2Ocean.t4",-2.22e-05,1.44e-06,-2.39e-05,-1.86e-05
"(Intercept).t5",38.7,0.376,38,39.2
"LandUseBarren.t5",0.479,0.295,-0.224,0.941
"LandUseCrop.t5",-0.121,0.253,-0.232,0.668
"LandUseShrub/Savanna.t5",-1.22,0.0422,-1.3,-1.15
"LandUseUrban.t5",-2.68,0.413,-3.85,-2.45
"LandUseWater.t5",8.38,0.114,8.14,8.6
"LandUseWetlands.t5",0.114,0.308,-0.335,1.04
"Dist2Ocean.t5",-4.66e-05,2.49e-06,-4.96e-05,-3.82e-05
"(Intercept).t6",36,0.11,35.7,36.1
"LandUseBarren.t6",1.31,0.304,0.589,1.79
"LandUseCrop.t6",-0.23,0.257,-0.354,0.556
"LandUseShrub/Savanna.t6",-1.1,0.0453,-1.19,-1.03
"LandUseUrban.t6",-2.6,0.459,-3.99,-2.38
"LandUseWater.t6",10.5,0.126,10.2,10.7
"LandUseWetlands.t6",0.176,0.317,-0.303,1.12
"Dist2Ocean.t6",-5.06e-05,1.03e-06,-5.16e-05,-4.81e-05
"(Intercept).t7",33.2,0.167,33,33.5
"LandUseBarren.t7",1.54,0.313,0.822,2.01
"LandUseCrop.t7",-0.296,0.256,-0.425,0.483
"LandUseShrub/Savanna.t7",-1.05,0.049,-1.15,-0.979
"LandUseUrban.t7",-2.35,0.5,-3.87,-2.13
"LandUseWater.t7",12.4,0.134,12.1,12.7
"LandUseWetlands.t7",0.151,0.32,-0.326,1.1
"Dist2Ocean.t7",-4.02e-05,3.06e-06,-5.16e-05,-3.84e-05
"(Intercept).t8",32.9,0.465,32.3,33.8
"LandUseBarren.t8",2.14,0.335,1.37,2.63
"LandUseCrop.t8",-0.394,0.251,-0.534,0.342
"LandUseShrub/Savanna.t8",-1.03,0.0572,-1.15,-0.955
"LandUseUrban.t8",-2.26,0.534,-3.95,-2.04
"LandUseWater.t8",15.3,0.143,15,15.6
"LandUseWetlands.t8",0.36,0.336,-0.106,1.35
"Dist2Ocean.t8",-5.5e-05,2.6e-06,-6.32e-05,-5.3e-05
"(Intercept).t9",31.8,0.255,31.6,32.4
"LandUseBarren.t9",1.92,0.348,1.1,2.44
"LandUseCrop.t9",-0.482,0.249,-0.631,0.247
"LandUseShrub/Savanna.t9",-1.08,0.0641,-1.21,-0.995
"LandUseUrban.t9",-2.27,0.551,-4.06,-2.05
"LandUseWater.t9",17.5,0.158,17.2,17.7
"LandUseWetlands.t9",0.132,0.342,-0.361,1.16
"Dist2Ocean.t9",-6.12e-05,3.31e-06,-7.14e-05,-5.93e-05
"(Intercept).t10",30.8,0.392,30.4,31.6
"LandUseBarren.t10",1.74,0.376,0.87,2.3
"LandUseCrop.t10",-0.404,0.251,-0.557,0.321
"LandUseShrub/Savanna.t10",-1.08,0.0735,-1.21,-0.994
"LandUseUrban.t10",-2.15,0.578,-3.98,-1.93
"LandUseWater.t10",18.6,0.159,18.3,18.9
"LandUseWetlands.t10",0.224,0.347,-0.247,1.25
"Dist2Ocean.t10",-6.85e-05,4.89e-06,-8.06e-05,-6.43e-05
