Predictor,Hour,estimate,se,2.50%,97.50%
Dist2Ocean.t1,12,-3.72E-05,3.51E-06,-4.04E-05,-2.48E-05
Dist2Ocean.t2,13,-3.22E-06,1.13E-05,-3.91E-05,3.53E-06
Dist2Ocean.t3,14,-3.63E-05,4.99E-06,-4.68E-05,-3.16E-05
Dist2Ocean.t4,15,-5.25E-05,1.95E-06,-5.43E-05,-4.72E-05
Dist2Ocean.t5,16,-6.72E-05,3.92E-06,-6.82E-05,-5.41E-05
Dist2Ocean.t6,17,-6.48E-05,2.37E-06,-6.59E-05,-5.78E-05
Dist2Ocean.t7,18,-5.23E-05,2.65E-06,-6.16E-05,-5.07E-05
Dist2Ocean.t8,19,-6.41E-05,3.42E-06,-7.15E-05,-6.10E-05
Dist2Ocean.t9,20,-6.21E-05,5.53E-06,-7.56E-05,-5.58E-05
Dist2Ocean.t10,21,-7.81E-05,2.93E-06,-8.03E-05,-7.15E-05
