"","","se","2.5%","97.5%"
"(Intercept).t1",70.4,0.469,69.6,71
"LandUseBarren.t1",-4.04,0.294,-4.59,-3.51
"LandUseForest.t1",-0.731,0.199,-0.802,-0.474
"LandUseShrub/Savanna.t1",0.027,0.105,-0.0308,0.166
"LandUseUrban.t1",-7.46,0.112,-7.63,-7.31
"LandUseWater.t1",-7.51,0.118,-7.7,-7.31
"LandUseWetlands.t1",-1.85,0.276,-2.31,-1.5
"Dist2Ocean.t1",5.84e-05,3.27e-06,5.45e-05,6.49e-05
"(Intercept).t2",70,0.165,69.8,70.4
"LandUseBarren.t2",-6.43,0.516,-7.23,-5.79
"LandUseForest.t2",-0.395,0.121,-0.509,-0.0964
"LandUseShrub/Savanna.t2",-1.36,0.0582,-1.43,-1.23
"LandUseUrban.t2",-8.55,0.253,-8.79,-8.29
"LandUseWater.t2",-7.26,0.146,-7.53,-6.96
"LandUseWetlands.t2",-2.72,0.5,-3.45,-2.3
"Dist2Ocean.t2",7.6e-05,4.27e-06,6.38e-05,7.96e-05
"(Intercept).t3",57.2,0.14,57,57.4
"LandUseBarren.t3",-1.59,0.511,-2.34,-0.887
"LandUseForest.t3",0.664,0.205,0.525,1.06
"LandUseShrub/Savanna.t3",-1.34,0.113,-1.41,-1.19
"LandUseUrban.t3",-2.89,0.233,-3.18,-2.65
"LandUseWater.t3",3.28,0.147,2.97,3.58
"LandUseWetlands.t3",-0.279,0.469,-1.37,0.101
"Dist2Ocean.t3",3.15e-05,6.96e-07,3.04e-05,3.29e-05
"(Intercept).t4",52.3,0.41,51.1,52.7
"LandUseBarren.t4",-0.885,0.377,-1.38,-0.0614
"LandUseForest.t4",0.513,0.133,0.36,0.816
"LandUseShrub/Savanna.t4",-1.32,0.0556,-1.39,-1.23
"LandUseUrban.t4",-2.25,0.222,-2.65,-1.93
"LandUseWater.t4",5.65,0.166,5.31,5.96
"LandUseWetlands.t4",0.0175,0.351,-0.85,0.437
"Dist2Ocean.t4",-2.39e-05,6.85e-06,-2.95e-05,-4.01e-06
"(Intercept).t5",47.6,0.15,47.5,48.1
"LandUseBarren.t5",-0.67,0.347,-1.1,0.233
"LandUseForest.t5",0.512,0.0857,0.359,0.659
"LandUseShrub/Savanna.t5",-1.16,0.0559,-1.26,-1.07
"LandUseUrban.t5",-2.43,0.275,-2.9,-2.13
"LandUseWater.t5",6.32,0.195,5.86,6.62
"LandUseWetlands.t5",-0.0544,0.279,-0.603,0.422
"Dist2Ocean.t5",-3.39e-05,3.24e-06,-4.46e-05,-3.2e-05
"(Intercept).t6",46.1,0.0369,46,46.2
"LandUseBarren.t6",-0.0874,0.347,-0.492,0.792
"LandUseForest.t6",0.662,0.0672,0.513,0.729
"LandUseShrub/Savanna.t6",-0.946,0.0846,-1.17,-0.852
"LandUseUrban.t6",-2.35,0.354,-3.13,-2.02
"LandUseWater.t6",6.7,0.189,6.26,6.99
"LandUseWetlands.t6",0.155,0.282,-0.325,0.712
"Dist2Ocean.t6",-8.41e-05,1.7e-06,-8.61e-05,-8.03e-05
"(Intercept).t7",45.1,0.197,44.7,45.3
"LandUseBarren.t7",0.406,0.357,-0.0795,1.21
"LandUseForest.t7",0.513,0.0664,0.376,0.593
"LandUseShrub/Savanna.t7",-0.961,0.103,-1.28,-0.87
"LandUseUrban.t7",-2.28,0.402,-3.25,-1.94
"LandUseWater.t7",7.92,0.206,7.39,8.22
"LandUseWetlands.t7",0.348,0.312,-0.119,0.948
"Dist2Ocean.t7",-0.000107,1.88e-06,-0.000109,-0.000103
"(Intercept).t8",43.6,0.184,43.3,44
"LandUseBarren.t8",1.43,0.4,0.828,2.19
"LandUseForest.t8",0.515,0.0594,0.385,0.594
"LandUseShrub/Savanna.t8",-0.886,0.113,-1.26,-0.777
"LandUseUrban.t8",-2.33,0.441,-3.49,-1.96
"LandUseWater.t8",9.65,0.202,9.17,9.94
"LandUseWetlands.t8",0.723,0.346,0.256,1.34
"Dist2Ocean.t8",-0.000118,1.22e-06,-0.000121,-0.000117
"(Intercept).t9",43.3,0.314,42.8,44
"LandUseBarren.t9",0.821,0.408,0.0642,1.5
"LandUseForest.t9",0.552,0.0542,0.433,0.631
"LandUseShrub/Savanna.t9",-0.86,0.119,-1.26,-0.747
"LandUseUrban.t9",-2.29,0.488,-3.63,-1.89
"LandUseWater.t9",11.5,0.197,11.1,11.8
"LandUseWetlands.t9",0.549,0.372,0.0579,1.24
"Dist2Ocean.t9",-0.000131,3.81e-06,-0.000139,-0.000124
"(Intercept).t10",43.6,0.351,43.1,44.3
"LandUseBarren.t10",1.06,0.397,0.171,1.6
"LandUseForest.t10",0.6,0.0533,0.484,0.678
"LandUseShrub/Savanna.t10",-0.865,0.116,-1.24,-0.729
"LandUseUrban.t10",-2.45,0.526,-3.91,-2.04
"LandUseWater.t10",12.3,0.209,11.8,12.6
"LandUseWetlands.t10",0.795,0.363,0.267,1.45
"Dist2Ocean.t10",-0.000136,6.1e-06,-0.000148,-0.000126
