"","","se","2.5%","97.5%"
"(Intercept).t1",77.8,0.145,77.5,78.1
"LandUseBarren.t1",-1.92,0.44,-2.89,-1.29
"LandUseForest.t1",-0.517,0.224,-0.586,-0.135
"LandUseShrub/Savanna.t1",0.0987,0.102,0.0265,0.303
"LandUseUrban.t1",-6.07,0.429,-7.07,-5.75
"LandUseWater.t1",-7.04,0.184,-7.3,-6.82
"LandUseWetlands.t1",-0.962,0.401,-1.47,-0.613
"Dist2Ocean.t1",2.5e-05,1.32e-06,2.25e-05,2.78e-05
"(Intercept).t2",71.2,0.833,70.8,73.6
"LandUseBarren.t2",-5.06,0.585,-6.2,-4.23
"LandUseForest.t2",-0.546,0.0894,-0.616,-0.238
"LandUseShrub/Savanna.t2",-1.71,0.0592,-1.81,-1.6
"LandUseUrban.t2",-6.29,0.351,-6.93,-5.78
"LandUseWater.t2",-4.63,0.16,-4.99,-4.41
"LandUseWetlands.t2",-2.63,0.48,-3.32,-2.19
"Dist2Ocean.t2",7.31e-05,1.21e-05,3.47e-05,7.91e-05
"(Intercept).t3",61.9,0.0948,61.6,62
"LandUseBarren.t3",-0.531,0.614,-1.57,0.327
"LandUseForest.t3",0.641,0.116,0.584,0.959
"LandUseShrub/Savanna.t3",-1.17,0.0754,-1.29,-1.03
"LandUseUrban.t3",-4.95,0.485,-5.77,-4.24
"LandUseWater.t3",3.17,0.173,2.84,3.4
"LandUseWetlands.t3",-0.522,0.403,-1.03,-0.06
"Dist2Ocean.t3",2.23e-05,9.63e-07,2.17e-05,2.55e-05
"(Intercept).t4",56.5,0.134,56.3,56.7
"LandUseBarren.t4",-0.108,0.468,-0.963,0.732
"LandUseForest.t4",0.389,0.0448,0.331,0.484
"LandUseShrub/Savanna.t4",-1.21,0.0933,-1.38,-1.05
"LandUseUrban.t4",-5.03,0.622,-6.14,-4.19
"LandUseWater.t4",5.09,0.21,4.62,5.37
"LandUseWetlands.t4",-0.554,0.326,-1.01,0.0545
"Dist2Ocean.t4",-3.47e-05,1.91e-06,-3.64e-05,-3.01e-05
"(Intercept).t5",51.4,0.577,50.5,52.6
"LandUseBarren.t5",0.721,0.399,-0.0641,1.46
"LandUseForest.t5",0.482,0.0509,0.405,0.574
"LandUseShrub/Savanna.t5",-1.12,0.115,-1.34,-0.948
"LandUseUrban.t5",-5.31,0.71,-6.69,-4.44
"LandUseWater.t5",5.85,0.223,5.32,6.14
"LandUseWetlands.t5",-0.0528,0.282,-0.478,0.548
"Dist2Ocean.t5",-7.03e-05,2.78e-06,-7.91e-05,-6.8e-05
"(Intercept).t6",49.6,0.0815,49.4,49.7
"LandUseBarren.t6",1.07,0.355,0.39,1.82
"LandUseForest.t6",0.493,0.0468,0.407,0.595
"LandUseShrub/Savanna.t6",-0.938,0.128,-1.23,-0.764
"LandUseUrban.t6",-5.3,0.796,-7,-4.4
"LandUseWater.t6",6.27,0.239,5.67,6.56
"LandUseWetlands.t6",0.145,0.316,-0.256,0.804
"Dist2Ocean.t6",-0.000111,2.18e-06,-0.000113,-0.000105
"(Intercept).t7",47.4,0.413,46.6,48
"LandUseBarren.t7",1.75,0.344,1.13,2.47
"LandUseForest.t7",0.507,0.0486,0.443,0.621
"LandUseShrub/Savanna.t7",-0.838,0.121,-1.1,-0.666
"LandUseUrban.t7",-5.35,0.84,-7.43,-4.43
"LandUseWater.t7",7.46,0.226,6.89,7.75
"LandUseWetlands.t7",-0.00934,0.402,-0.424,0.694
"Dist2Ocean.t7",-0.000125,4.37e-06,-0.000129,-0.000114
"(Intercept).t8",45,0.127,44.8,45.2
"LandUseBarren.t8",2.17,0.354,1.53,2.87
"LandUseForest.t8",0.447,0.0483,0.388,0.567
"LandUseShrub/Savanna.t8",-0.877,0.122,-1.14,-0.714
"LandUseUrban.t8",-5.4,0.859,-7.66,-4.46
"LandUseWater.t8",10.3,0.224,9.67,10.5
"LandUseWetlands.t8",0.384,0.415,-0.0374,1.23
"Dist2Ocean.t8",-0.000124,6.02e-07,-0.000125,-0.000122
"(Intercept).t9",43.8,0.312,43.5,44.7
"LandUseBarren.t9",2.35,0.394,1.7,3.02
"LandUseForest.t9",0.532,0.0399,0.479,0.634
"LandUseShrub/Savanna.t9",-0.801,0.125,-1.07,-0.636
"LandUseUrban.t9",-5.16,0.872,-7.43,-4.19
"LandUseWater.t9",12.9,0.227,12.3,13.2
"LandUseWetlands.t9",1.03,0.473,0.584,1.94
"Dist2Ocean.t9",-0.000129,4.63e-06,-0.000141,-0.000125
"(Intercept).t10",44.5,0.41,44,45.4
"LandUseBarren.t10",2.11,0.399,1.46,2.89
"LandUseForest.t10",0.568,0.0407,0.514,0.676
"LandUseShrub/Savanna.t10",-0.766,0.121,-1.03,-0.614
"LandUseUrban.t10",-5.32,0.885,-7.51,-4.31
"LandUseWater.t10",13.6,0.214,13,13.8
"LandUseWetlands.t10",0.581,0.51,0.112,1.66
"Dist2Ocean.t10",-0.000143,5.91e-06,-0.000155,-0.000135
