Predictor,estimate,se,2.50%,97.50%
(Intercept).t1,280,0.139,280,280
LandUseBarren.t1,2.13,0.0995,2,2.37
LandUseForest.t1,-0.0447,0.106,-0.255,-0.0315
LandUseShrub/Savanna.t1,0.237,0.0793,0.107,0.253
LandUseUrban.t1,2.98,0.0986,2.83,3.01
LandUseWater.t1,4.96,0.0466,4.91,5.01
LandUseWetlands.t1,0.643,0.0939,0.547,0.863
Dist2Ocean.t1,-2.51E-05,1.64E-06,-2.81E-05,-2.41E-05
(Intercept).t2,282,0.0737,282,282
LandUseBarren.t2,1.47,0.114,1.35,1.72
LandUseForest.t2,0.0609,0.0688,-0.159,0.0738
LandUseShrub/Savanna.t2,0.286,0.0509,0.141,0.3
LandUseUrban.t2,1.43,0.0756,1.2,1.46
LandUseWater.t2,3.19,0.0408,3.15,3.24
LandUseWetlands.t2,0.555,0.107,0.462,0.792
Dist2Ocean.t2,-3.23E-05,6.92E-07,-3.26E-05,-3.19E-05
(Intercept).t3,286,0.084,285,286
LandUseBarren.t3,0.491,0.118,0.353,0.807
LandUseForest.t3,0.0584,0.0447,-0.0567,0.0707
LandUseShrub/Savanna.t3,0.142,0.0361,0.0641,0.156
LandUseUrban.t3,-0.0257,0.0875,-0.32,-0.0075
LandUseWater.t3,0.4,0.0565,0.358,0.445
LandUseWetlands.t3,0.213,0.103,0.126,0.492
Dist2Ocean.t3,-2.22E-05,1.11E-06,-2.41E-05,-2.08E-05
(Intercept).t4,288,0.0917,288,288
LandUseBarren.t4,0.285,0.106,0.155,0.58
LandUseForest.t4,0.043,0.0407,0.015,0.0557
LandUseShrub/Savanna.t4,0.129,0.0337,0.113,0.14
LandUseUrban.t4,-0.142,0.0794,-0.405,-0.123
LandUseWater.t4,-0.349,0.0569,-0.391,-0.256
LandUseWetlands.t4,0.0608,0.0944,-0.013,0.316
Dist2Ocean.t4,-1.54E-05,1.17E-06,-1.75E-05,-1.41E-05
(Intercept).t5,290,0.0776,290,290
LandUseBarren.t5,0.0453,0.0885,-0.0932,0.237
LandUseForest.t5,0.0257,0.0466,0.0132,0.0697
LandUseShrub/Savanna.t5,0.0929,0.0386,0.0792,0.127
LandUseUrban.t5,-0.16,0.0605,-0.315,-0.141
LandUseWater.t5,-0.774,0.0585,-0.805,-0.648
LandUseWetlands.t5,-0.0391,0.0836,-0.107,0.143
Dist2Ocean.t5,-9.24E-06,1.09E-06,-1.16E-05,-8.30E-06
(Intercept).t6,291,0.074,291,291
LandUseBarren.t6,-0.193,0.0716,-0.319,-0.0647
LandUseForest.t6,0.0118,0.044,0.00175,0.0868
LandUseShrub/Savanna.t6,0.0508,0.0381,0.0394,0.113
LandUseUrban.t6,-0.147,0.0531,-0.188,-0.128
LandUseWater.t6,-1.09,0.0581,-1.12,-0.964
LandUseWetlands.t6,-0.0941,0.0725,-0.18,0.0294
Dist2Ocean.t6,-6.73E-06,7.15E-07,-6.92E-06,-6.55E-06
(Intercept).t7,292,0.0903,292,292
LandUseBarren.t7,-0.343,0.064,-0.464,-0.246
LandUseForest.t7,0.00314,0.0396,-0.00624,0.06
LandUseShrub/Savanna.t7,0.0262,0.0357,0.0153,0.0824
LandUseUrban.t7,-0.16,0.0669,-0.205,-0.0438
LandUseWater.t7,-1.3,0.0548,-1.34,-1.21
LandUseWetlands.t7,-0.12,0.0725,-0.205,0.0237
Dist2Ocean.t7,-3.66E-06,1.10E-06,-4.79E-06,-1.97E-06
(Intercept).t8,293,0.0861,293,293
LandUseBarren.t8,-0.393,0.0632,-0.504,-0.294
LandUseForest.t8,-0.0137,0.0374,-0.0243,0.0084
LandUseShrub/Savanna.t8,0.0194,0.0346,0.00627,0.0571
LandUseUrban.t8,-0.168,0.0884,-0.212,0.0664
LandUseWater.t8,-1.49,0.0518,-1.52,-1.42
LandUseWetlands.t8,-0.125,0.0844,-0.268,0.0329
Dist2Ocean.t8,1.03E-06,9.74E-07,-4.14E-08,2.33E-06
(Intercept).t9,294,0.0874,294,294
LandUseBarren.t9,-0.37,0.073,-0.511,-0.243
LandUseForest.t9,-0.0388,0.0372,-0.0526,-0.0234
LandUseShrub/Savanna.t9,0.0435,0.0338,0.0292,0.0664
LandUseUrban.t9,-0.182,0.106,-0.231,0.131
LandUseWater.t9,-1.65,0.051,-1.69,-1.6
LandUseWetlands.t9,-0.119,0.0997,-0.382,0.0433
Dist2Ocean.t9,4.12E-06,9.53E-07,3.38E-06,5.50E-06
(Intercept).t10,294,0.036,294,294
LandUseBarren.t10,-0.232,0.0825,-0.41,-0.0952
LandUseForest.t10,-0.0598,0.0137,-0.0851,-0.0403
LandUseShrub/Savanna.t10,0.0869,0.0102,0.0687,0.109
LandUseUrban.t10,-0.179,0.0946,-0.232,0.168
LandUseWater.t10,-1.69,0.0248,-1.74,-1.65
LandUseWetlands.t10,-0.0931,0.108,-0.435,0.0821
Dist2Ocean.t10,4.85E-06,3.75E-07,4.31E-06,5.63E-06
