"","","se","2.5%","97.5%"
"(Intercept).t1",284,0.153,283,284
"LandUseBarren.t1",2.17,0.142,2.01,2.45
"LandUseCrop.t1",0.0434,0.128,-0.0345,0.299
"LandUseShrub/Savanna.t1",0.27,0.0964,0.224,0.465
"LandUseUrban.t1",3.38,0.111,3.3,3.55
"LandUseWater.t1",5.47,0.0877,5.39,5.64
"LandUseWetlands.t1",0.735,0.148,0.601,1.04
"Dist2Ocean.t1",-3.58e-05,1.28e-06,-3.86e-05,-3.46e-05
"(Intercept).t2",285,0.127,285,286
"LandUseBarren.t2",1.48,0.147,1.32,1.78
"LandUseCrop.t2",0.0374,0.124,-0.0577,0.355
"LandUseShrub/Savanna.t2",0.288,0.0932,0.233,0.533
"LandUseUrban.t2",1.55,0.105,1.45,1.76
"LandUseWater.t2",3.47,0.0922,3.38,3.66
"LandUseWetlands.t2",0.589,0.157,0.451,0.94
"Dist2Ocean.t2",-3.76e-05,1.4e-06,-4.17e-05,-3.67e-05
"(Intercept).t3",289,0.0813,289,289
"LandUseBarren.t3",0.42,0.149,0.272,0.767
"LandUseCrop.t3",0.196,0.148,0.0738,0.575
"LandUseShrub/Savanna.t3",0.241,0.112,0.173,0.534
"LandUseUrban.t3",0.0402,0.13,-0.0741,0.31
"LandUseWater.t3",0.589,0.112,0.493,0.839
"LandUseWetlands.t3",0.248,0.166,0.0972,0.661
"Dist2Ocean.t3",-2.63e-05,1.21e-06,-2.88e-05,-2.47e-05
"(Intercept).t4",291,0.0753,291,291
"LandUseBarren.t4",0.218,0.14,0.0698,0.62
"LandUseCrop.t4",0.22,0.159,0.0829,0.619
"LandUseShrub/Savanna.t4",0.239,0.123,0.165,0.562
"LandUseUrban.t4",-0.0754,0.144,-0.206,0.221
"LandUseWater.t4",-0.0818,0.119,-0.192,0.191
"LandUseWetlands.t4",0.189,0.17,0.0287,0.605
"Dist2Ocean.t4",-1.62e-05,1.27e-06,-1.85e-05,-1.42e-05
"(Intercept).t5",292,0.0947,292,292
"LandUseBarren.t5",-0.00579,0.133,-0.171,0.359
"LandUseCrop.t5",0.256,0.166,0.11,0.664
"LandUseShrub/Savanna.t5",0.222,0.13,0.141,0.563
"LandUseUrban.t5",-0.0987,0.16,-0.237,0.229
"LandUseWater.t5",-0.442,0.125,-0.56,-0.153
"LandUseWetlands.t5",0.156,0.171,-0.0153,0.553
"Dist2Ocean.t5",-7.35e-06,9.95e-07,-9.87e-06,-6.45e-06
"(Intercept).t6",293,0.102,293,293
"LandUseBarren.t6",-0.268,0.129,-0.444,0.0434
"LandUseCrop.t6",0.296,0.171,0.136,0.696
"LandUseShrub/Savanna.t6",0.203,0.136,0.119,0.557
"LandUseUrban.t6",-0.0911,0.177,-0.232,0.292
"LandUseWater.t6",-0.637,0.129,-0.763,-0.334
"LandUseWetlands.t6",0.0826,0.174,-0.089,0.467
"Dist2Ocean.t6",-8.62e-07,7.52e-07,-2.75e-06,-2.46e-07
"(Intercept).t7",294,0.118,294,294
"LandUseBarren.t7",-0.421,0.129,-0.608,-0.123
"LandUseCrop.t7",0.321,0.176,0.153,0.716
"LandUseShrub/Savanna.t7",0.194,0.14,0.106,0.554
"LandUseUrban.t7",-0.0969,0.196,-0.24,0.393
"LandUseWater.t7",-0.756,0.136,-0.901,-0.434
"LandUseWetlands.t7",0.0621,0.177,-0.116,0.45
"Dist2Ocean.t7",4.5e-06,3.94e-07,4.16e-06,4.83e-06
"(Intercept).t8",295,0.146,295,295
"LandUseBarren.t8",-0.456,0.131,-0.654,-0.154
"LandUseCrop.t8",0.342,0.179,0.166,0.734
"LandUseShrub/Savanna.t8",0.206,0.144,0.116,0.571
"LandUseUrban.t8",-0.0999,0.213,-0.254,0.466
"LandUseWater.t8",-0.849,0.142,-1.01,-0.511
"LandUseWetlands.t8",0.0537,0.179,-0.114,0.449
"Dist2Ocean.t8",9.27e-06,5.94e-07,8.75e-06,1.06e-05
"(Intercept).t9",295,0.169,295,296
"LandUseBarren.t9",-0.354,0.136,-0.569,-0.0627
"LandUseCrop.t9",0.37,0.18,0.191,0.756
"LandUseShrub/Savanna.t9",0.248,0.145,0.154,0.617
"LandUseUrban.t9",-0.0919,0.224,-0.246,0.543
"LandUseWater.t9",-0.913,0.146,-1.08,-0.559
"LandUseWetlands.t9",0.0488,0.18,-0.119,0.448
"Dist2Ocean.t9",1.28e-05,8.37e-07,1.22e-05,1.49e-05
"(Intercept).t10",296,0.168,295,296
"LandUseBarren.t10",-0.164,0.138,-0.385,0.135
"LandUseCrop.t10",0.389,0.178,0.214,0.78
"LandUseShrub/Savanna.t10",0.31,0.142,0.217,0.686
"LandUseUrban.t10",-0.0475,0.224,-0.204,0.608
"LandUseWater.t10",-0.888,0.142,-1.06,-0.53
"LandUseWetlands.t10",0.0787,0.178,-0.0851,0.484
"Dist2Ocean.t10",1.44e-05,8.6e-07,1.35e-05,1.67e-05
