"","","se","2.5%","97.5%"
"(Intercept).t1",285,0.143,285,285
"LandUseBarren.t1",2.07,0.113,1.91,2.28
"LandUseForest.t1",0.122,0.0816,-0.0202,0.139
"LandUseShrub/Savanna.t1",0.283,0.0668,0.175,0.301
"LandUseUrban.t1",3.16,0.131,2.76,3.19
"LandUseWater.t1",5.23,0.0423,5.19,5.28
"LandUseWetlands.t1",0.843,0.121,0.748,1.19
"Dist2Ocean.t1",-3.86e-05,1.45e-06,-3.9e-05,-3.77e-05
"(Intercept).t2",287,0.0743,287,287
"LandUseBarren.t2",1.54,0.121,1.38,1.81
"LandUseForest.t2",0.137,0.0492,-0.013,0.157
"LandUseShrub/Savanna.t2",0.319,0.0411,0.202,0.341
"LandUseUrban.t2",1.7,0.128,1.25,1.73
"LandUseWater.t2",3.62,0.0395,3.57,3.66
"LandUseWetlands.t2",0.712,0.134,0.612,1.07
"Dist2Ocean.t2",-4.17e-05,8.86e-07,-4.33e-05,-4.08e-05
"(Intercept).t3",291,0.0927,291,291
"LandUseBarren.t3",0.203,0.111,0.0776,0.515
"LandUseForest.t3",-0.0363,0.0444,-0.145,-0.0213
"LandUseShrub/Savanna.t3",0.118,0.0378,0.0341,0.137
"LandUseUrban.t3",-0.028,0.126,-0.438,0.00709
"LandUseWater.t3",0.361,0.0519,0.319,0.397
"LandUseWetlands.t3",0.0577,0.11,-0.0198,0.388
"Dist2Ocean.t3",-3e-05,1.18e-06,-3.26e-05,-2.92e-05
"(Intercept).t4",292,0.0925,292,293
"LandUseBarren.t4",0.0778,0.0916,-0.021,0.321
"LandUseForest.t4",-0.0503,0.0372,-0.106,-0.0388
"LandUseShrub/Savanna.t4",0.107,0.0325,0.0635,0.123
"LandUseUrban.t4",-0.191,0.0881,-0.495,-0.159
"LandUseWater.t4",-0.241,0.0472,-0.282,-0.209
"LandUseWetlands.t4",0.0165,0.0873,-0.0514,0.255
"Dist2Ocean.t4",-1.67e-05,1.2e-06,-1.94e-05,-1.57e-05
"(Intercept).t5",294,0.0834,293,294
"LandUseBarren.t5",-0.0388,0.0767,-0.147,0.113
"LandUseForest.t5",-0.0555,0.0363,-0.069,-0.0443
"LandUseShrub/Savanna.t5",0.0756,0.0321,0.0631,0.0905
"LandUseUrban.t5",-0.258,0.062,-0.414,-0.223
"LandUseWater.t5",-0.541,0.0471,-0.583,-0.499
"LandUseWetlands.t5",0.00492,0.0739,-0.0666,0.193
"Dist2Ocean.t5",-8.26e-06,9.41e-07,-1.02e-05,-7.61e-06
"(Intercept).t6",294,0.0757,294,294
"LandUseBarren.t6",-0.178,0.0673,-0.268,-0.0586
"LandUseForest.t6",-0.0527,0.038,-0.0638,-0.0323
"LandUseShrub/Savanna.t6",0.0453,0.0345,0.031,0.0718
"LandUseUrban.t6",-0.264,0.0588,-0.307,-0.222
"LandUseWater.t6",-0.74,0.0503,-0.788,-0.686
"LandUseWetlands.t6",-0.0286,0.066,-0.111,0.104
"Dist2Ocean.t6",-1.87e-06,7.59e-07,-2.24e-06,-1.44e-06
"(Intercept).t7",295,0.0865,295,295
"LandUseBarren.t7",-0.289,0.0689,-0.394,-0.182
"LandUseForest.t7",-0.0455,0.0409,-0.0561,0.00468
"LandUseShrub/Savanna.t7",0.029,0.0387,0.016,0.0895
"LandUseUrban.t7",-0.268,0.0839,-0.302,-0.0779
"LandUseWater.t7",-0.906,0.0539,-0.949,-0.83
"LandUseWetlands.t7",-0.0424,0.063,-0.117,0.077
"Dist2Ocean.t7",5.59e-06,8.61e-07,5.16e-06,6.66e-06
"(Intercept).t8",295,0.09,295,295
"LandUseBarren.t8",-0.375,0.0734,-0.479,-0.24
"LandUseForest.t8",-0.049,0.0421,-0.0593,0.00873
"LandUseShrub/Savanna.t8",0.033,0.0416,0.0201,0.116
"LandUseUrban.t8",-0.264,0.114,-0.297,0.0877
"LandUseWater.t8",-1.03,0.0585,-1.08,-0.945
"LandUseWetlands.t8",-0.0277,0.0595,-0.0885,0.0857
"Dist2Ocean.t8",1.22e-05,1.05e-06,1.17e-05,1.41e-05
"(Intercept).t9",296,0.0968,296,296
"LandUseBarren.t9",-0.349,0.0736,-0.471,-0.232
"LandUseForest.t9",-0.0642,0.0413,-0.077,-0.0097
"LandUseShrub/Savanna.t9",0.0501,0.0425,0.0367,0.135
"LandUseUrban.t9",-0.268,0.139,-0.301,0.197
"LandUseWater.t9",-1.14,0.0605,-1.19,-1.04
"LandUseWetlands.t9",-0.0435,0.0646,-0.114,0.0994
"Dist2Ocean.t9",1.7e-05,1.13e-06,1.63e-05,1.91e-05
"(Intercept).t10",296,0.0546,296,296
"LandUseBarren.t10",-0.223,0.0703,-0.358,-0.105
"LandUseForest.t10",-0.0833,0.0128,-0.099,-0.0405
"LandUseShrub/Savanna.t10",0.0878,0.0221,0.0728,0.172
"LandUseUrban.t10",-0.247,0.135,-0.282,0.267
"LandUseWater.t10",-1.14,0.0406,-1.19,-1.05
"LandUseWetlands.t10",-0.045,0.0597,-0.137,0.101
"Dist2Ocean.t10",1.99e-05,6.53e-07,1.88e-05,2.12e-05
