Predictor,Estimate,se,2.50%,97.50%
(Intercept).t1,284,0.158,284,284
LandUseBarren.t1,2.05,0.103,1.9,2.22
LandUseForest.t1,0.107,0.0596,0.0791,0.129
LandUseShrub/Savanna.t1,0.287,0.051,0.259,0.31
LandUseUrban.t1,3.57,0.0865,3.47,3.64
LandUseWater.t1,5.19,0.0426,5.13,5.25
LandUseWetlands.t1,0.859,0.0988,0.745,1.01
Dist2Ocean.t1,-3.08E-05,1.15E-06,-3.23E-05,-3.02E-05
(Intercept).t2,287,0.0885,287,287
LandUseBarren.t2,0.999,0.103,0.854,1.17
LandUseForest.t2,0.177,0.0383,0.152,0.202
LandUseShrub/Savanna.t2,0.317,0.0338,0.289,0.343
LandUseUrban.t2,1.08,0.0679,0.932,1.17
LandUseWater.t2,2.42,0.0565,2.37,2.48
LandUseWetlands.t2,0.658,0.108,0.528,0.844
Dist2Ocean.t2,-3.71E-05,5.92E-07,-3.76E-05,-3.68E-05
(Intercept).t3,290,0.0652,290,290
LandUseBarren.t3,0.231,0.0836,0.0578,0.349
LandUseForest.t3,-0.00247,0.0352,-0.0287,0.0217
LandUseShrub/Savanna.t3,0.137,0.0324,0.105,0.163
LandUseUrban.t3,0.186,0.0798,0.00208,0.285
LandUseWater.t3,0.325,0.0503,0.267,0.38
LandUseWetlands.t3,0.184,0.0831,0.0702,0.328
Dist2Ocean.t3,-2.94E-05,5.51E-07,-2.96E-05,-2.92E-05
(Intercept).t4,291,0.0659,291,291
LandUseBarren.t4,0.122,0.0716,-0.0388,0.22
LandUseForest.t4,-0.0177,0.0353,-0.0451,0.00357
LandUseShrub/Savanna.t4,0.115,0.0328,0.0799,0.142
LandUseUrban.t4,0.0708,0.0803,-0.0791,0.174
LandUseWater.t4,-0.215,0.0454,-0.277,-0.173
LandUseWetlands.t4,0.123,0.0678,0.0107,0.221
Dist2Ocean.t4,-1.87E-05,5.56E-07,-1.90E-05,-1.85E-05
(Intercept).t5,292,0.0722,292,292
LandUseBarren.t5,-0.0248,0.0749,-0.18,0.0839
LandUseForest.t5,-0.0203,0.0363,-0.0505,-0.00016
LandUseShrub/Savanna.t5,0.0891,0.0341,0.0512,0.119
LandUseUrban.t5,0.114,0.0821,0.000314,0.226
LandUseWater.t5,-0.53,0.0442,-0.594,-0.49
LandUseWetlands.t5,0.06,0.0663,-0.0261,0.177
Dist2Ocean.t5,-7.45E-06,8.47E-07,-9.06E-06,-6.65E-06
(Intercept).t6,293,0.0733,293,293
LandUseBarren.t6,-0.149,0.086,-0.323,-0.019
LandUseForest.t6,-0.0121,0.0379,-0.0444,0.0119
LandUseShrub/Savanna.t6,0.0608,0.0354,0.0191,0.0963
LandUseUrban.t6,0.204,0.0963,0.0618,0.333
LandUseWater.t6,-0.679,0.0445,-0.754,-0.647
LandUseWetlands.t6,0.0353,0.0712,-0.0551,0.176
Dist2Ocean.t6,-7.82E-08,5.59E-07,-6.26E-07,1.37E-07
(Intercept).t7,294,0.0677,294,294
LandUseBarren.t7,-0.252,0.103,-0.484,-0.11
LandUseForest.t7,-0.00804,0.0396,-0.0408,0.026
LandUseShrub/Savanna.t7,0.0475,0.0374,0.00588,0.0921
LandUseUrban.t7,0.279,0.122,0.127,0.503
LandUseWater.t7,-0.858,0.0472,-0.93,-0.826
LandUseWetlands.t7,0.023,0.0822,-0.114,0.173
Dist2Ocean.t7,7.46E-06,5.54E-07,7.33E-06,7.72E-06
(Intercept).t8,294,0.0904,294,295
LandUseBarren.t8,-0.302,0.116,-0.639,-0.139
LandUseForest.t8,-0.0218,0.0429,-0.0561,0.0261
LandUseShrub/Savanna.t8,0.0558,0.04,0.0104,0.11
LandUseUrban.t8,0.308,0.152,0.152,0.682
LandUseWater.t8,-1.08,0.0522,-1.15,-1.03
LandUseWetlands.t8,0.00282,0.0909,-0.193,0.153
Dist2Ocean.t8,1.35E-05,9.10E-07,1.26E-05,1.48E-05
(Intercept).t9,295,0.095,295,295
LandUseBarren.t9,-0.301,0.126,-0.661,-0.133
LandUseForest.t9,-0.0414,0.0449,-0.0792,0.0105
LandUseShrub/Savanna.t9,0.0828,0.0424,0.0304,0.139
LandUseUrban.t9,0.3,0.174,0.14,0.789
LandUseWater.t9,-1.24,0.0554,-1.31,-1.19
LandUseWetlands.t9,-0.033,0.0981,-0.299,0.119
Dist2Ocean.t9,1.92E-05,1.05E-06,1.82E-05,2.11E-05
(Intercept).t10,295,0.0359,295,295
LandUseBarren.t10,-0.166,0.129,-0.532,0.0147
LandUseForest.t10,-0.0648,0.0266,-0.104,-0.0196
LandUseShrub/Savanna.t10,0.125,0.029,0.069,0.176
LandUseUrban.t10,0.317,0.174,0.151,0.85
LandUseWater.t10,-1.23,0.0386,-1.3,-1.18
LandUseWetlands.t10,-0.00684,0.0978,-0.257,0.155
Dist2Ocean.t10,2.29E-05,5.02E-07,2.22E-05,2.37E-05
