"","","se","2.5%","97.5%"
"(Intercept).t1",3.1,0.0895,3,3.3
"LandUseBarren.t1",0.0439,0.0599,-0.0879,0.174
"LandUseForest.t1",0.0236,0.00964,0.00752,0.0404
"LandUseShrub/Savanna.t1",0.0119,0.00644,-9.99e-05,0.0248
"LandUseUrban.t1",-0.273,0.0613,-0.428,-0.239
"LandUseWater.t1",-0.299,0.0226,-0.34,-0.253
"LandUseWetlands.t1",0.0159,0.037,-0.059,0.0806
"Dist2Ocean.t1",9.91e-07,1.1e-06,-1.37e-06,2.34e-06
"(Intercept).t2",2.97,0.105,2.83,3.2
"LandUseBarren.t2",0.0544,0.0743,-0.109,0.182
"LandUseForest.t2",-0.0052,0.0139,-0.0303,0.0203
"LandUseShrub/Savanna.t2",-0.00263,0.011,-0.0201,0.0128
"LandUseUrban.t2",-0.257,0.079,-0.489,-0.197
"LandUseWater.t2",-0.237,0.0343,-0.29,-0.189
"LandUseWetlands.t2",-0.013,0.0417,-0.0934,0.0622
"Dist2Ocean.t2",7.19e-07,1.28e-06,-2.52e-06,2.05e-06
"(Intercept).t3",1.9,0.0745,1.77,2
"LandUseBarren.t3",0.0919,0.0959,-0.099,0.244
"LandUseForest.t3",-0.0716,0.0247,-0.109,-0.0409
"LandUseShrub/Savanna.t3",-0.00675,0.017,-0.0387,0.0107
"LandUseUrban.t3",-0.37,0.0881,-0.631,-0.296
"LandUseWater.t3",0.112,0.0292,0.0546,0.161
"LandUseWetlands.t3",0.0668,0.0431,-0.0105,0.155
"Dist2Ocean.t3",-1.61e-06,5.54e-07,-2.3e-06,-2.58e-07
"(Intercept).t4",1.89,0.0163,1.88,1.93
"LandUseBarren.t4",0.0738,0.113,-0.125,0.255
"LandUseForest.t4",-0.0739,0.0232,-0.115,-0.0383
"LandUseShrub/Savanna.t4",0.0266,0.0142,-0.0142,0.0438
"LandUseUrban.t4",-0.361,0.0931,-0.597,-0.276
"LandUseWater.t4",-0.0457,0.0271,-0.0946,0.00701
"LandUseWetlands.t4",-0.0603,0.0488,-0.143,0.0369
"Dist2Ocean.t4",3.26e-07,5.6e-07,-8.07e-07,8.36e-07
"(Intercept).t5",2.32,0.0403,2.3,2.44
"LandUseBarren.t5",0.263,0.13,0.0597,0.482
"LandUseForest.t5",-0.0835,0.0241,-0.122,-0.0418
"LandUseShrub/Savanna.t5",0.0278,0.0144,-0.00823,0.0439
"LandUseUrban.t5",-0.383,0.0976,-0.6,-0.282
"LandUseWater.t5",-0.000741,0.0285,-0.0444,0.0605
"LandUseWetlands.t5",-0.0344,0.0492,-0.115,0.0782
"Dist2Ocean.t5",-1.84e-06,3.25e-07,-2.48e-06,-1.33e-06
"(Intercept).t6",2.67,0.0307,2.63,2.74
"LandUseBarren.t6",0.471,0.14,0.263,0.732
"LandUseForest.t6",-0.0818,0.0246,-0.122,-0.0388
"LandUseShrub/Savanna.t6",0.0451,0.0148,0.00543,0.0616
"LandUseUrban.t6",-0.388,0.105,-0.617,-0.275
"LandUseWater.t6",0.0659,0.0291,0.0169,0.125
"LandUseWetlands.t6",-0.0212,0.0581,-0.0977,0.116
"Dist2Ocean.t6",-7.47e-06,3.11e-07,-8.01e-06,-6.9e-06
"(Intercept).t7",2.8,0.0152,2.76,2.82
"LandUseBarren.t7",0.371,0.149,0.132,0.653
"LandUseForest.t7",-0.0514,0.0251,-0.0926,-0.00662
"LandUseShrub/Savanna.t7",0.0545,0.0161,0.00909,0.0721
"LandUseUrban.t7",-0.346,0.11,-0.584,-0.226
"LandUseWater.t7",0.232,0.0296,0.184,0.297
"LandUseWetlands.t7",0.0461,0.0653,-0.0366,0.217
"Dist2Ocean.t7",-9.69e-06,2.13e-07,-1e-05,-9.12e-06
"(Intercept).t8",2.78,0.0405,2.73,2.86
"LandUseBarren.t8",0.405,0.155,0.17,0.74
"LandUseForest.t8",-0.054,0.0283,-0.105,-0.00688
"LandUseShrub/Savanna.t8",0.0466,0.0206,-0.0229,0.0694
"LandUseUrban.t8",-0.367,0.113,-0.615,-0.241
"LandUseWater.t8",0.194,0.0314,0.143,0.265
"LandUseWetlands.t8",0.000118,0.0673,-0.0792,0.175
"Dist2Ocean.t8",-1.03e-05,5.25e-07,-1.12e-05,-9.53e-06
"(Intercept).t9",3.01,0.0765,2.86,3.1
"LandUseBarren.t9",0.3,0.162,0.0648,0.695
"LandUseForest.t9",-0.0544,0.0327,-0.127,-0.00696
"LandUseShrub/Savanna.t9",0.0482,0.0256,-0.0329,0.0723
"LandUseUrban.t9",-0.386,0.115,-0.645,-0.253
"LandUseWater.t9",0.171,0.0346,0.112,0.247
"LandUseWetlands.t9",-0.053,0.0703,-0.138,0.128
"Dist2Ocean.t9",-1.29e-05,1.13e-06,-1.4e-05,-1.08e-05
"(Intercept).t10",3.01,0.143,2.82,3.3
"LandUseBarren.t10",0.401,0.168,0.166,0.823
"LandUseForest.t10",-0.0574,0.0386,-0.15,-0.00877
"LandUseShrub/Savanna.t10",0.0414,0.0302,-0.0536,0.0673
"LandUseUrban.t10",-0.428,0.117,-0.678,-0.282
"LandUseWater.t10",0.0799,0.0401,0.000319,0.152
"LandUseWetlands.t10",0.00485,0.0706,-0.0943,0.185
"Dist2Ocean.t10",-1.11e-05,2.09e-06,-1.53e-05,-8.44e-06
