"","","se","2.5%","97.5%"
"(Intercept).t1",4.24,0.0748,4.2,4.51
"LandUseBarren.t1",0.161,0.0668,0.0371,0.297
"LandUseForest.t1",0.0615,0.011,0.0401,0.0765
"LandUseShrub/Savanna.t1",0.0446,0.00796,0.0303,0.0583
"LandUseUrban.t1",-0.502,0.0491,-0.613,-0.447
"LandUseWater.t1",0.0191,0.0213,-0.0203,0.0615
"LandUseWetlands.t1",0.107,0.0541,0.0245,0.211
"Dist2Ocean.t1",5.33e-06,1.5e-06,7.37e-08,5.96e-06
"(Intercept).t2",3.97,0.0424,3.82,4
"LandUseBarren.t2",0.183,0.101,-0.000214,0.388
"LandUseForest.t2",0.015,0.0104,-0.00976,0.0305
"LandUseShrub/Savanna.t2",0.0494,0.009,0.0297,0.0647
"LandUseUrban.t2",-0.494,0.0959,-0.724,-0.397
"LandUseWater.t2",0.0463,0.0295,-0.00579,0.105
"LandUseWetlands.t2",0.128,0.0702,0.0272,0.282
"Dist2Ocean.t2",-3.32e-06,1.97e-06,-5.06e-06,2.15e-06
"(Intercept).t3",3.6,0.171,3.31,3.83
"LandUseBarren.t3",0.135,0.123,-0.0801,0.362
"LandUseForest.t3",-0.022,0.0144,-0.0605,-0.00739
"LandUseShrub/Savanna.t3",0.0874,0.00979,0.0665,0.103
"LandUseUrban.t3",-0.703,0.129,-0.993,-0.568
"LandUseWater.t3",0.158,0.0342,0.102,0.218
"LandUseWetlands.t3",0.194,0.0781,0.107,0.413
"Dist2Ocean.t3",-8.37e-06,1.59e-06,-1.05e-05,-5.64e-06
"(Intercept).t4",3.84,0.0174,3.81,3.87
"LandUseBarren.t4",0.149,0.124,-0.0814,0.342
"LandUseForest.t4",-0.0298,0.0177,-0.0887,-0.0156
"LandUseShrub/Savanna.t4",0.0431,0.0109,0.0129,0.0591
"LandUseUrban.t4",-0.752,0.157,-1.11,-0.597
"LandUseWater.t4",0.0499,0.0282,0.00245,0.102
"LandUseWetlands.t4",0.135,0.0663,0.0554,0.321
"Dist2Ocean.t4",-3.94e-06,4.01e-07,-4.28e-06,-2.79e-06
"(Intercept).t5",3.78,0.0878,3.68,4.01
"LandUseBarren.t5",0.169,0.126,-0.0611,0.34
"LandUseForest.t5",-0.0434,0.0204,-0.107,-0.0285
"LandUseShrub/Savanna.t5",0.0391,0.0122,0.00893,0.0539
"LandUseUrban.t5",-0.75,0.169,-1.14,-0.58
"LandUseWater.t5",-0.00477,0.0299,-0.054,0.0518
"LandUseWetlands.t5",0.102,0.064,0.026,0.282
"Dist2Ocean.t5",-3.82e-06,9.51e-07,-6.31e-06,-2.85e-06
"(Intercept).t6",3.91,0.106,3.8,4.17
"LandUseBarren.t6",0.241,0.13,-0.00264,0.413
"LandUseForest.t6",-0.0392,0.0197,-0.0981,-0.0265
"LandUseShrub/Savanna.t6",0.0449,0.0129,0.014,0.0592
"LandUseUrban.t6",-0.759,0.177,-1.17,-0.574
"LandUseWater.t6",0.0265,0.0324,-0.0248,0.0884
"LandUseWetlands.t6",0.149,0.0631,0.0778,0.32
"Dist2Ocean.t6",-4.49e-06,1.28e-06,-7.57e-06,-3.21e-06
"(Intercept).t7",4.33,0.0255,4.29,4.37
"LandUseBarren.t7",0.292,0.134,0.036,0.457
"LandUseForest.t7",-0.0472,0.0159,-0.0961,-0.034
"LandUseShrub/Savanna.t7",0.0533,0.0124,0.0273,0.071
"LandUseUrban.t7",-0.845,0.179,-1.26,-0.645
"LandUseWater.t7",0.109,0.0349,0.0533,0.18
"LandUseWetlands.t7",0.161,0.0691,0.0791,0.348
"Dist2Ocean.t7",-5.44e-06,4.27e-07,-5.87e-06,-4.64e-06
"(Intercept).t8",4.68,0.0313,4.62,4.71
"LandUseBarren.t8",0.303,0.138,0.0508,0.493
"LandUseForest.t8",-0.0467,0.0149,-0.0922,-0.0334
"LandUseShrub/Savanna.t8",0.0754,0.0132,0.0509,0.0959
"LandUseUrban.t8",-0.937,0.183,-1.36,-0.736
"LandUseWater.t8",0.168,0.039,0.107,0.25
"LandUseWetlands.t8",0.198,0.0726,0.119,0.393
"Dist2Ocean.t8",-5.91e-06,2.71e-07,-6.4e-06,-5.44e-06
"(Intercept).t9",5.02,0.0328,4.99,5.09
"LandUseBarren.t9",0.404,0.137,0.164,0.616
"LandUseForest.t9",-0.049,0.0149,-0.089,-0.0343
"LandUseShrub/Savanna.t9",0.0847,0.0144,0.0575,0.109
"LandUseUrban.t9",-1.02,0.185,-1.45,-0.821
"LandUseWater.t9",0.257,0.042,0.185,0.339
"LandUseWetlands.t9",0.264,0.0798,0.164,0.476
"Dist2Ocean.t9",-5.93e-06,3.09e-07,-6.5e-06,-5.45e-06
"(Intercept).t10",5.22,0.0919,5.07,5.36
"LandUseBarren.t10",0.45,0.139,0.201,0.669
"LandUseForest.t10",-0.0565,0.0148,-0.0951,-0.0404
"LandUseShrub/Savanna.t10",0.0903,0.0147,0.0639,0.114
"LandUseUrban.t10",-1.09,0.189,-1.52,-0.886
"LandUseWater.t10",0.281,0.0438,0.205,0.365
"LandUseWetlands.t10",0.236,0.0866,0.119,0.455
"Dist2Ocean.t10",-4.03e-06,4.5e-07,-4.59e-06,-3.09e-06
