Person/Group Name,Organization(s),Contact Type,Location,State Coverage,Specific Location,Expertise Category,Last Contacted,Notes
Debra Hernandez,SECOORA,Data Collection,"Charlseston, SC","NC, SC, GA, FL","NC, SC, GA, FL","Ocean observing, Stakeholder outreach",10/7/24,"Developing MHW project, will meet in November"
"Julio Morell, André Amador, Patricia Chardón Maldonaldo",CARICOOS,Data Collection,"San Juan, PR","VI, PR, ","VI, PR, ","Ocean observing, Stakeholder outreach",10/7/24,"Ongoing MHW-related work, will meet in November"
Kevin Czajkowski,"GLOBE, University of Toledo","Data Collection, Outreach","Toledo, OH",Global,Global,"Atmospheric Science, Stakeholder outreach",Never,Runs the UHI data collection project for GLOBE
Rusty Low,GLOBE,"Data Collection, Outreach","Arlington, VA",Global,Global,"General observations, Stakeholder outreach",10/24/24,"Will be meeting in November, will be at Education & Outreach Committee meeting in December"
"Ryan Bare, Stephanie Piper, Ebrahim Eslami",HARC,"Data Collection, Outreach","The Woodlands, TX",TX,Houston,"Stakeholder outreach, General observations",12/16/24,"Eslami works on modeling air quality, Bare is working on the forUsTree project, and Piper is doing work on urban heat"
Dan Fu,TAMU,Models,"College Station, TX",Global,Global,Atmospheric Science,12/6/24,"Interested in climate change scale patterns, but is sharing WRF source code to do some starting MHW runs to make sure this project will work. Down to continue collaborating"
Dev Niyogi,UT Austin,Models,"Austin, TX",TX,"Urban areas (including Austin, Houston)",Atmospheric Science,10/30/24,"UCL climate models (fine-scale), developed UT GLOBUS dataset"
Jean Carlos Peña,University of Albany,Models,"Albany, NY",TX,Houston,Atmospheric Science,10/29/24,Has developed WRF model for Houston
Shawn Milrad,Embry-Riddle Aeronautical University,Models,"Daytona Beach, Fl","TX, LA, MS, AL, GA, FL, SC, NC, VA",Southeastern U.S.,Atmospheric Science,11/26/24,Developing models connecting MHW to heat index for the southeastern US
Blair Morrison,Mobile Bay National Estuary Program,Outreach,"Fairhope, AL",AL,Mobile Bay,"Stakeholder outreach, Fisheries",10/2/24,Has contacts in aquaculture
Jeff Plumlee,"LSU, Louisiana SeaGrant",Outreach,"Baton Rouge, LA",LA,"Coastal Gulf of Mexico, focus on Louisiana","Fisheries, Stakeholder outreach",10/23/24,"Has data on oyster fisheries in Apalachicola and Mobile Bay, interested in dicard mortality from recreational fisheries"
Laura Picariello,TX Sea Grant,Outreach,"Galveston, TX",TX,Coastal Texas,"Fisheries, Stakeholder outreach",11/15,"Has contacts in Galveston, hopeing to talk to rest of team soon too"
Matt Bethel,"LSU, Louisiana SeaGrant",Outreach,"Baton Rouge, LA",LA,Coastal Louisiana,Stakeholder outreach,12/9/24,Socio-ecological systems research
Sharon Mesick,NOAA,Outreach,"Ocean Springs, MS","NM, TX, OK, LA, AK, MS, TN, AL, GA, FL, PR, VI",Southern U.S.,"General observations, Stakeholder outreach",11/11/24,Interested in MHW project and terrestrial/marine data integration
-,Society of Underwater Technology,Data Collection,"Houston, TX",TX,Houston-based,Ocean observing,-,Might have some other temperature data for the Gulf of Mexico
-,RICE SSPEED Center,Outreach,"Houston, TX",TX,Houston-based,"Stakeholder outreach, General observations",-,Solomon talked to them as part of developing the GCOOS Framework for CCS
Matt Streich,HARTE Research Institute,"Outreach, Data Collection","Corpus Christi, TX",TX,Gulf of Mexico,"Stakeholder outreach, General observations",11/21/24,"Work on Sustainable use and conservation in the Gulf, Matt works on sports fishing"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
