"","EID","ID","Expertise"
"1",1,1,"Ocean observing"
"2",2,1,"Stakeholder outreach"
"3",3,2,"Ocean observing"
"4",4,2,"Stakeholder outreach"
"5",5,3,"Atmospheric Science"
"6",6,3,"Stakeholder outreach"
"7",7,4,"General observations"
"8",8,4,"Stakeholder outreach"
"9",9,5,"Stakeholder outreach"
"10",10,5,"General observations"
"11",11,6,"Atmospheric Science"
"12",12,7,"Atmospheric Science"
"13",13,8,"Atmospheric Science"
"14",14,9,"Atmospheric Science"
"15",15,10,"Stakeholder outreach"
"16",16,10,"Fisheries"
"17",17,11,"Fisheries"
"18",18,11,"Stakeholder outreach"
"19",19,12,"Fisheries"
"20",20,12,"Stakeholder outreach"
"21",21,13,"Stakeholder outreach"
"22",22,14,"General observations"
"23",23,14,"Stakeholder outreach"
"24",24,15,"Ocean observing"
"25",25,16,"Stakeholder outreach"
"26",26,16,"General observations"
"27",27,17,"Stakeholder outreach"
"28",28,17,"General observations"
