"","LID","ID","State"
"1",1,1,"NC"
"2",2,1,"SC"
"3",3,1,"GA"
"4",4,1,"FL"
"5",5,2,"VI"
"6",6,2,"PR"
"7",7,3,"TX"
"8",8,3,"LA"
"9",9,3,"MS"
"10",10,3,"AL"
"11",11,3,"FL"
"12",12,3,"GA"
"13",13,3,"SC"
"14",14,3,"NC"
"15",15,3,"PR"
"16",16,3,"VI"
"17",17,4,"TX"
"18",18,4,"LA"
"19",19,4,"MS"
"20",20,4,"AL"
"21",21,4,"FL"
"22",22,4,"GA"
"23",23,4,"SC"
"24",24,4,"NC"
"25",25,4,"PR"
"26",26,4,"VI"
"27",27,5,"TX"
"28",28,6,"TX"
"29",29,6,"LA"
"30",30,6,"MS"
"31",31,6,"AL"
"32",32,6,"FL"
"33",33,6,"GA"
"34",34,6,"SC"
"35",35,6,"NC"
"36",36,6,"PR"
"37",37,6,"VI"
"38",38,7,"TX"
"39",39,8,"TX"
"40",40,9,"TX"
"41",41,9,"LA"
"42",42,9,"MS"
"43",43,9,"AL"
"44",44,9,"GA"
"45",45,9,"FL"
"46",46,9,"SC"
"47",47,9,"NC"
"48",48,10,"AL"
"49",49,11,"LA"
"50",50,12,"TX"
"51",51,13,"LA"
"52",52,14,"TX"
"53",53,14,"LA"
"54",54,14,"MS"
"55",55,14,"AL"
"56",56,14,"GA"
"57",57,14,"FL"
"58",58,14,"PR"
"59",59,14,"VI"
"60",60,15,"TX"
"61",61,16,"TX"
"62",62,17,"TX"
